gene,description
Solyc08g083175.2.1 ,G-type lectin S-receptor-like serine/threonine-protein kinase (AHRD V3.11 *-* tr|A0A2G3D6E9|A0A2G3D6E9_CAPCH)
Solyc08g160130.1.1 ,G-type lectin S-receptor-like serine/threonine-protein kinase (AHRD V3.11 *-* tr|A0A2G3D6E9|A0A2G3D6E9_CAPCH)
Solyc08g016150.1.1 ,Avr9/Cf-9 rapidly elicited protein 180 (AHRD V3.3 *** Q9FQZ1_TOBAC)
Solyc08g016160.3.1 ,cation/H(+) antiporter 15-like (AHRD V3.3 *** A0A2I4GL35_9ROSI)
Solyc08g016170.3.1 ,3-oxoacyl-[acyl-carrier-protein] synthase (AHRD V3.3 *** A0A1J7GJV4_LUPAN)
Solyc08g016180.3.1 ,60S ribosomal protein L18a (AHRD V3.3 *** A0A2G2WKJ7_CAPBA)
Solyc08g016190.5.1 ,60S ribosomal protein L18a-like protein (AHRD V3.11 *** tr|A0A2I4F6G6|A0A2I4F6G6_9ROSI)
Solyc08g161750.1.1 ,Copia-type polyprotein (AHRD V3.11 *-* tr|A0A2K3MWU3|A0A2K3MWU3_TRIPR)
Solyc08g016210.3.1 ,LOW QUALITY PROTEIN: LRR receptor-like serine/threonine-protein kinase GS.1
Solyc08g016220.1.1 ,Receptor like protein (AHRD V3.3 *** A0A1S8AD65_CITLI)
Solyc08g016250.1.1 ,Glycosyltransferase (AHRD V3.3 *-* A0A2G2Y495_CAPAN)
Solyc08g016260.1.1 ,Glycosyltransferase (AHRD V3.3 *-* A0A2G2W4I0_CAPBA)
Solyc08g016270.3.1 ,LOW QUALITY PROTEIN: LRR receptor-like serine/threonine-protein kinase GS.1
Solyc08g016275.2.1 ,Peptidyl-prolyl cis-trans isomerase PASTICCINO1 (AHRD V3.11 *-* tr|A0A2G2VE40|A0A2G2VE40_CAPBA)
Solyc08g161760.1.1 ,ATP-dependent DNA helicase PIF1 (AHRD V3.11 *-* tr|A0A2I0WLM1|A0A2I0WLM1_9ASPA)
Solyc00g042640.2.1 ,ATP-dependent DNA helicase (AHRD V3.11 *-* tr|A0A2I0XEU5|A0A2I0XEU5_9ASPA)
Solyc08g016310.3.1 ,LOW QUALITY PROTEIN: LRR receptor-like serine/threonine-protein kinase GS.1
Solyc08g161770.1.1 ,LOW QUALITY PROTEIN: LRR receptor-like serine/threonine-protein kinase GSO2 (AHRD V3.11 *-* tr|A0A1U8F790|A0A1U8F790_CAPAN)
Solyc08g160140.1.1 ,LOW QUALITY PROTEIN: LRR receptor-like serine/threonine-protein kinase GSO1 (AHRD V3.11 *-* tr|A0A1U8F7A0|A0A1U8F7A0_CAPAN)
Solyc08g016317.1.1 ,Receptor-like protein kinase (AHRD V3.3 *-* A0A2K3M8U7_TRIPR)
Solyc08g016340.1.1 ,Protein kinase domain (AHRD V3.3 *-* A0A200PQX9_9MAGN)
Solyc08g016350.1.1 ,RING/U-box superfamily protein (AHRD V3.3 *-* A0A1Y1HNV9_KLENI)
Solyc08g016360.1.1 ,Unknown protein
Solyc08g161780.1.1 ,RING/U-box superfamily protein Chr4:1324602-1326654 FORWARD LENGTH=645 201606 (AHRD V3.11 *-* AT4G03000.6)
Solyc08g016370.1.1 ,RING/U-box superfamily protein (AHRD V3.3 *-* A0A1P8B7R8_ARATH)
Solyc08g160150.1.1 ,Zinc finger protein (AHRD V3.11 *-* tr|A0A200Q1U4|A0A200Q1U4_9MAGN)
Solyc08g016380.1.1 ,Unknown protein
Solyc08g016400.1.1 ,Unknown protein
Solyc08g016410.1.1 ,Unknown protein
Solyc08g016415.1.1 ,hypothetical protein (AHRD V3.3 *** AT2G38465.1)
Solyc08g016420.3.1 ,prefoldin subunit 6-like (AHRD V3.3 *** A0A2I4EJN6_9ROSI)
Solyc08g016430.1.1 ,Unknown protein
Solyc08g016433.2.1 ,zinc finger BED domain-containing protein RICESLEEPER 2-like (AHRD V3.11 *-* tr|A0A2I4HAK8|A0A2I4HAK8_9ROSI)
Solyc08g016444.2.1 ,Ribonuclease H (AHRD V3.11 *-* tr|A0A2K3LYP6|A0A2K3LYP6_TRIPR)
Solyc08g016437.1.1 ,Unknown protein
Solyc08g061245.2.1 ,UBN2_3 domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3AQH1|A0A1Q3AQH1_CEPFO)
Solyc08g016500.3.1 ,Potassium channel KA.1
Solyc08g016510.3.1 ,Proteasome subunit alpha type (AHRD V3.3 *** A0A2G2W582_CAPBA)
Solyc08g016560.3.1 ,Histone-lysine N-methyltransferase ASH.1
Solyc08g016563.1.1 ,Unknown protein
Solyc08g161790.1.1 ,"2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial (AHRD V3.11 *-* tr|A0A2G2Y480|A0A2G2Y480_CAPAN)"
Solyc08g016570.1.1 ,Unknown protein
Solyc08g016580.1.1 ,DUF538 domain-containing protein (AHRD V3.3 *** A0A1Q3CGV0_CEPFO)
Solyc09g056490.2.1 ,60S ribosomal protein L19-2 (AHRD V3.11 *-* tr|A0A2G3C1J0|A0A2G3C1J0_CAPCH)
Solyc08g016583.1.1 ,E3 ubiquitin-protein ligase BRE1A-like (AHRD V3.3 --* XP_010314382.1)
Solyc08g016587.1.1 ,Unknown protein
Solyc08g016620.3.1 ,DUF616 domain-containing protein (AHRD V3.3 *** A0A1Q3CH38_CEPFO)
Solyc08g161800.1.1 ,"arogenate dehydrogenase 1, chloroplastic (AHRD V3.11 --* XP_012089842.1)"
Solyc08g161810.1.1 ,T-complex protein 1 subunit alpha (AHRD V3.11 *-* tr|A0A2G3AMG9|A0A2G3AMG9_CAPAN)
Solyc08g016650.1.1 ,Unknown protein
Solyc08g016660.2.1 ,Gibberellin 2 oxidase (AHRD V3.3 *** Q53C60_NEROL)
Solyc08g016670.3.1 ,calcyclin-binding protein-like (AHRD V3.3 *** A0A2I4DRI6_9ROSI)
Solyc08g016673.1.1 ,Unknown protein
Solyc08g016720.1.1 ,9-cis-epoxycarotenoid dioxygenase2
Solyc08g016730.1.1 ,Protein kinase domain (AHRD V3.3 *-* A0A200R9B5_9MAGN)
Solyc08g161820.1.1 ,B3 domain-containing transcription factor VRN1-like (AHRD V3.11 *-* XP_004234716.1)
Solyc08g016740.1.1 ,Serine/threonine protein kinase (AHRD V3.3 *-* B6TWS7_MAIZE)
Solyc08g016750.3.1 ,Pyruvate dehydrogenase .1
Solyc08g016760.1.1 ,Unknown protein
Solyc08g016763.1.1 ,Unknown protein
Solyc08g016770.5.1 ,Serine decarboxylase (AHRD V3.11 *** tr|A0A1U8F8Y3|A0A1U8F8Y3_CAPAN)
Solyc08g016780.1.1 ,Unknown protein
Solyc08g016790.1.1 ,Unknown protein
Solyc08g016791.1.1 ,Unknown protein
Solyc08g016792.1.1 ,Unknown protein
Solyc08g150109.1.1 ,Unknown protein
Solyc08g016794.1.1 ,Unknown protein
Solyc08g150110.1.1 ,Unknown protein
Solyc08g016796.1.1 ,Unknown protein
Solyc08g150111.1.1 ,Unknown protein
Solyc08g016798.1.1 ,Unknown protein
Solyc08g016799.1.1 ,Unknown protein
Solyc08g016800.1.1 ,Calcineurin B-like protein (AHRD V3.3 *-* A9Q116_MAIZE)
Solyc08g016801.1.1 ,Aladin (AHRD V3.3 *** A0A1J3JTW2_NOCCA)
Solyc08g016802.1.1 ,Serine/threonine-protein phosphatase 7 long form-like protein (AHRD V3.3 *-* A0A1J3DHF8_NOCCA)
Solyc08g016803.1.1 ,Unknown protein
Solyc08g016804.1.1 ,Unknown protein
Solyc08g016805.2.1 ,Eukaryotic translation initiation factor 3 subunit A (AHRD V3.11 *-* tr|A0A2G3AVW5|A0A2G3AVW5_CAPCH)
Solyc08g016806.1.1 ,Unknown protein
Solyc08g016807.1.1 ,Unknown protein
Solyc08g016808.2.1 ,Aladin (AHRD V3.11 *** tr|A0A1J3HAH8|A0A1J3HAH8_NOCCA)
Solyc08g054570.3.1 ,Calcineurin B-like protein 8 (AHRD V3.3 *** A0A2G2X9D2_CAPBA)
Solyc08g150120.1.1 ,Unknown protein
Solyc08g036660.5.1 ,Jasmonate ZIM domain protein f (AHRD V3.11 *** tr|I3WTA4|I3WTA4_NICAT)
Solyc08g036640.3.1 ,Jasmonate ZIM domain protein f (AHRD V3.3 *** I3WTA4_NICAT)
Solyc08g161830.1.1 ,UBN2_3 domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3AQH1|A0A1Q3AQH1_CEPFO)
Solyc08g036625.2.1 ,Jasmonate ZIM domain protein f (AHRD V3.11 *** tr|I3WTA4|I3WTA4_NICAT)
Solyc08g036610.3.1 ,meiotic recombination protein DM.1
Solyc08g150117.1.1 ,PttA2 protein (AHRD V3.3 --* O49072_PETHY)
Solyc08g036600.4.1 ,Aladin (AHRD V3.11 *** tr|A0A1J3JTW2|A0A1J3JTW2_NOCCA)
Solyc08g036590.1.1 ,Calcineurin B-like protein 8 (AHRD V3.3 *** A0A2G2X9D2_CAPBA)
Solyc08g160400.1.1 ,U-box domain-containing protein 4 (AHRD V3.11 *-* tr|A0A2G2XGT0|A0A2G2XGT0_CAPBA)
Solyc08g036570.1.1 ,Glutaredoxin (AHRD V3.3 *** A0A2G9H0A3_9LAMI)
Solyc08g036550.1.1 ,Unknown protein
Solyc08g036540.1.1 ,Unknown protein
Solyc08g036530.1.1 ,Unknown protein
Solyc08g036533.1.1 ,Unknown protein
Solyc08g036535.1.1 ,BnaCnng12870D protein (AHRD V3.3 *** Q6YSS1_BRANA)
Solyc08g036537.1.1 ,Unknown protein
Solyc08g036520.2.1 ,Unknown protein
Solyc08g036510.1.1 ,Unknown protein
Solyc08g036500.1.1 ,hypothetical protein (AHRD V3.3 *** ATMG00660.1)
Solyc08g036505.2.1 ,Jasmonate ZIM domain protein f (AHRD V3.3 *** I3WTA4_NICAT)
Solyc08g160220.1.1 ,UBN2_3 domain-containing protein (AHRD V3.11 *** tr|A0A1Q3DA17|A0A1Q3DA17_CEPFO)
Solyc08g160430.1.1 ,"Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial (AHRD V3.11 *-* tr|A0A2G2V8P5|A0A2G2V8P5_CAPBA)"
Solyc08g160420.1.1 ,DDE_4 domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3CF28|A0A1Q3CF28_CEPFO)
Solyc08g160410.1.1 ,Protein REVEILLE 1 (AHRD V3.11 *-* tr|A0A2G2XWA2|A0A2G2XWA2_CAPAN)
Solyc08g036410.1.1 ,Unknown protein
Solyc08g036413.1.1 ,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein (AHRD V3.3 *-* A0A2U1MNC5_ARTAN)
Solyc08g036417.2.1 ,Ribosomal protein L15 (AHRD V3.11 *-* tr|A0A2G2WJY1|A0A2G2WJY1_CAPBA)
Solyc08g048570.1.1 ,Unknown protein
Solyc08g048550.3.1 ,"Protease Do-like 5, chloroplastic (AHRD V3.3 *** A0A1U8DTN0_CAPAN)"
Solyc08g048540.2.1 ,Small nuclear ribonucleoprotein family protein (AHRD V3.3 *** F4JQU9_ARATH)
Solyc08g048520.1.1 ,Small nuclear ribonucleoprotein family protein (AHRD V3.3 *** F4JQU9_ARATH)
Solyc08g048510.1.1 ,Unknown protein
Solyc08g048500.3.1 ,KH domain-containing protein (AHRD V3.3 *** A0A1U8E2G5_CAPAN)
Solyc03g117145.2.1 ,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (AHRD V3.11 *-* tr|A0A2G2XQR9|A0A2G2XQR9_CAPBA)
Solyc08g048507.1.1 ,Unknown protein
Solyc08g160010.1.1 ,60S ribosomal protein L19-2 (AHRD V3.11 *-* tr|A0A2G3C1J0|A0A2G3C1J0_CAPCH)
Solyc08g048460.2.1 ,Ornithine aminotransferase (AHRD V3.3 *-* A0A2G3BRE2_CAPCH)
Solyc08g048450.4.1 ,ornithine aminotransferase
Solyc08g048455.1.1 ,Unknown protein
Solyc08g048440.1.1 ,Unknown protein
Solyc08g048430.4.1 ,F-box protein (AHRD V3.3 *** A0A2G3BRT0_CAPCH)
Solyc08g150119.1.1 ,villin-2-like (AHRD V3.3 *-* A0A1U8EBN1_CAPAN)
Solyc00g147570.4.1 ,villin-2-like (AHRD V3.11 *-* tr|A0A1U8EBN1|A0A1U8EBN1_CAPAN)
Solyc08g048410.2.1 ,Ubiquitin carboxyl-terminal hydrolase .1
Solyc08g048390.3.1 ,TCP transcription factor 24
Solyc08g048395.1.1 ,Unknown protein
Solyc08g048370.4.1 ,TCP transcription factor 29
Solyc08g048350.1.1 ,Unknown protein
Solyc08g160440.1.1 ,ubiquitin carboxyl-terminal hydrolase 20-like (AHRD V3.11 *-* XP_010326111.1)
Solyc08g048320.1.1 ,transmembrane protein adipocyte-associated.1
Solyc08g048310.3.1 ,Ubiquitin carboxyl-terminal hydrolase .1
Solyc08g048300.3.1 ,Cinnamyl-alcohol dehydrogenase (AHRD V3.3 *-* A0A2U1QH68_ARTAN)
Solyc08g048290.4.1 ,inositol transporter 2
Solyc08g048250.4.1 ,Peroxisomal (S)-2-hydroxy-acid oxidase GL.1
Solyc08g160450.1.1 ,Zinc finger BED domain-containing protein DAYSLEEPER (AHRD V3.11 *** tr|A0A1J3JPE0|A0A1J3JPE0_NOCCA)
Solyc08g160460.1.1 ,Ribonuclease H (AHRD V3.11 --* tr|A0A2K3PKF4|A0A2K3PKF4_TRIPR)
Solyc08g048240.5.1 ,FolD bifunctional protein (AHRD V3.11 *** tr|B6TJF9|B6TJF9_MAIZE)
Solyc08g048233.2.1 ,sentrin-specific protease 1-like (AHRD V3.11 *-* XP_006480104.2)
Solyc08g160470.1.1 ,Eukaryotic translation initiation factor 4G (AHRD V3.11 *-* tr|A0A2G3AM37|A0A2G3AM37_CAPAN)
Solyc08g048190.1.1 ,Unknown protein
Solyc08g048180.1.1 ,Unknown protein
Solyc08g160480.1.1 ,component of gems protein 1-like (AHRD V3.11 --* XP_021753840.1)
Solyc08g048170.1.1 ,Unknown protein
Solyc08g048160.1.1 ,Unknown protein
Solyc08g048150.1.1 ,Unknown protein
Solyc08g048070.1.1 ,Mitochondrial import inner membrane translocase subunit Tim9 (AHRD V3.3 *** A0A1U8HIB5_CAPAN)
Solyc08g048010.1.1 ,Unknown protein
Solyc08g047990.1.1 ,Unknown protein
Solyc08g047960.1.1 ,Unknown protein
Solyc08g047885.2.1 ,Protein SENSITIVITY TO RED LIGHT REDUCED 1 (AHRD V3.11 *-* tr|A0A1U8FAA0|A0A1U8FAA0_CAPAN)
Solyc08g160490.1.1 ,Protein SENSITIVITY TO RED LIGHT REDUCED 1 (AHRD V3.11 *-* tr|A0A1J3JJQ8|A0A1J3JJQ8_NOCCA)
Solyc08g047880.1.1 ,Unknown protein
Solyc08g160500.1.1 ,Protein SENSITIVITY TO RED LIGHT REDUCED 1 (AHRD V3.11 *-* tr|A0A1J3D979|A0A1J3D979_NOCCA)
Solyc08g045870.3.1 ,Ribosomal protein S3 (AHRD V3.3 *-* A0A290WKX3_SOLLC)
Solyc08g045860.1.1 ,Unknown protein
Solyc08g160520.1.1 ,ATP-dependent DNA helicase (AHRD V3.11 *-* tr|A0A2I4HW82|A0A2I4HW82_9ROSI)
Solyc07g032810.2.1 ,ATP-dependent DNA helicase PIF1-like (AHRD V3.11 *-* XP_020263361.1)
Solyc08g160510.1.1 ,ATP-dependent DNA helicase (AHRD V3.11 *-* tr|K3ZFG0|K3ZFG0_SETIT)
Solyc08g160530.1.1 ,ATP-dependent DNA helicase (AHRD V3.11 *-* tr|K3XRZ7|K3XRZ7_SETIT)
Solyc08g045850.3.1 ,Pentatricopeptide repeat (AHRD V3.3 *** A0A200RA18_9MAGN)
Solyc08g045800.2.1 ,Unknown protein
Solyc08g045780.4.1 ,Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G3BRB1_CAPCH)
Solyc08g045770.1.1 ,hypothetical protein (AHRD V3.3 --* AT1G61170.1)
Solyc08g045760.1.1 ,L-Ala-D/L-amino acid epimerase (AHRD V3.3 *-* A0A1U8FVL6_CAPAN)
Solyc08g045750.1.1 ,Unknown protein
Solyc08g045740.3.1 ,Phospholipase D (AHRD V3.3 *-* M1AD93_SOLTU)
Solyc08g160540.1.1 ,Ribonuclease H (AHRD V3.11 *** tr|A0A2K3JRD2|A0A2K3JRD2_TRIPR)
Solyc08g160550.1.1 ,Ribonuclease H (AHRD V3.11 *-* tr|A0A2K3PHI5|A0A2K3PHI5_TRIPR)
Solyc08g045730.1.1 ,4-hydroxy-4-methyl-2-oxoglutarate aldolase (AHRD V3.3 --* A0A2G3CF74_CAPCH)
Solyc08g045733.1.1 ,Unknown protein
Solyc08g160560.1.1 ,60S ribosomal protein L19-2 (AHRD V3.11 *-* tr|A0A2G3C1J0|A0A2G3C1J0_CAPCH)
Solyc08g045737.1.1 ,E3 ubiquitin-protein ligase BRE1A-like (AHRD V3.3 *-* XP_010314382.1)
Solyc10g076960.2.1 ,Cysteine-rich receptor-like protein kinase 2 (AHRD V3.11 --* tr|A0A2G3CHA5|A0A2G3CHA5_CAPCH)
Solyc08g160570.1.1 ,Peptidyl-prolyl cis-trans isomerase PASTICCINO1 (AHRD V3.11 *-* tr|A0A2G2Y582|A0A2G2Y582_CAPAN)
Solyc09g042722.2.1 ,E3 ubiquitin-protein ligase BRE1A-like (AHRD V3.11 --* XP_010314382.1)
Solyc08g160590.1.1 ,Peptidyl-prolyl cis-trans isomerase PASTICCINO1 (AHRD V3.11 *-* tr|A0A2G2Y582|A0A2G2Y582_CAPAN)
Solyc08g160580.1.1 ,Peptidyl-prolyl cis-trans isomerase PASTICCINO1 (AHRD V3.11 *-* tr|A0A2G2VE40|A0A2G2VE40_CAPBA)
Solyc08g045640.3.1 ,Remorin family protein (AHRD V3.3 *** A0A2U1QND3_ARTAN)
Solyc08g160600.1.1 ,DUF4216 domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3BE32|A0A1Q3BE32_CEPFO)
Solyc08g160610.1.1 ,glutamic acid-rich protein-like isoform X2 (AHRD V3.11 *-* XP_020262070.1)
Solyc08g045620.1.1 ,Protein Ycf2 (AHRD V3.3 *-* A0A2G3DB00_CAPCH)
Solyc08g044610.4.1 ,Protein phosphatase 2C (AHRD V3.11 *-* tr|Q6QLU0|Q6QLU0_SOLLC)
Solyc08g044590.1.1 ,"Histone-lysine N-methyltransferase, H3 lysine-9 specific protein (AHRD V3.3 *-* A0A2R6PME3_ACTCH)"
Solyc08g160630.1.1 ,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH6-like (AHRD V3.11 *-* XP_019068268.1)"
Solyc08g044560.1.1 ,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH6-like (AHRD V3.3 *-* A0A1U8G968_CAPAN)"
Solyc08g044550.2.1 ,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH6-like (AHRD V3.3 *-* A0A1U8GIG3_CAPAN)"
Solyc08g160640.1.1 ,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH6-like (AHRD V3.11 *-* tr|A0A1U8G968|A0A1U8G968_CAPAN)"
Solyc08g044540.1.1 ,hypothetical protein (AHRD V3.3 *-* AT3G57450.1)
Solyc08g044510.5.1 ,Beta-glucosidase (AHRD V3.11 *** tr|F8R893|F8R893_9MAGN)
Solyc08g044490.1.1 ,Kinesin-like calmodulin-binding protein (AHRD V3.3 *-* A0A2G3D3X0_CAPCH)
Solyc08g044480.1.1 ,Checkpoint protein (AHRD V3.3 *-* A0A1U8G4P4_CAPAN)
Solyc08g160650.1.1 ,Myb domain protein 62 (AHRD V3.11 *-* tr|A0A2U1NV99|A0A2U1NV99_ARTAN)
Solyc08g044470.1.1 ,SPX domain-containing protein (AHRD V3.3 *-* D7KU38_ARALL)
Solyc08g044440.1.1 ,Protein strubbelig-receptor family 3 (AHRD V3.3 *-* A0A1J6ILS7_NICAT)
Solyc08g160660.1.1 ,UBN2_3 domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3D723|A0A1Q3D723_CEPFO)
Solyc08g160670.1.1 ,Ribonuclease H domain (AHRD V3.11 *-* tr|A0A200QSI6|A0A200QSI6_9MAGN)
Solyc08g160680.1.1 ,Non-functional NADPH-dependent codeinone reductase 2 (AHRD V3.11 *-* tr|A0A2G2X821|A0A2G2X821_CAPBA)
Solyc08g044410.1.1 ,sacI homology domain-containing protein / WW domain-containing protein (AHRD V3.3 *-* AT3G59770.3)
Solyc08g044400.3.1 ,SacI homology domain-containing protein / WW domain-containing protein (AHRD V3.3 *** F4J9G0_ARATH)
Solyc08g044390.1.1 ,Fasciclin-like arabinogalactan protein (AHRD V3.3 *-* A0A2K3P4N3_TRIPR)
Solyc08g044380.3.1 ,DUF1005 domain-containing protein (AHRD V3.3 *** A0A1Q3BB96_CEPFO)
Solyc08g044340.1.1 ,Glutamate receptor (AHRD V3.3 *-* A0A2G2XG28_CAPBA)
Solyc08g044345.1.1 ,Prefoldin chaperone subunit family protein (AHRD V3.3 *** AT1G49245.1)
Solyc08g044330.2.1 ,3'-5' exonuclease domain-containing protein (AHRD V3.3 *-* A0A2U1MTF9_ARTAN)
Solyc08g044337.1.1 ,UB-like protease 1B (AHRD V3.3 --* AT4G00690.1)
Solyc08g044305.1.1 ,receptor-like protein kinase (AHRD V3.3 *-* A0A1U7WU94_NICSY)
Solyc08g044280.1.1 ,Unknown protein
Solyc08g044260.4.1 ,Fatty acid hydroxylase superfamily (AHRD V3.3 *** A0A2U1L8N4_ARTAN)
Solyc08g044240.1.1 ,Chloroplastic group IIA intron splicing facilitator CR.1
Solyc08g044243.1.1 ,Ribosomal protein L15 (AHRD V3.3 *-* A0A2G2WJY1_CAPBA)
Solyc08g044247.1.1 ,Unknown protein
Solyc08g043190.1.1 ,Unknown protein
Solyc08g043180.3.1 ,Photosystem II reaction center PsbP family protein (AHRD V3.3 *** A0A0F7GYT8_9ROSI)
Solyc08g043170.5.1 ,Delta-1-pyrroline-5-carboxylate synthase (AHRD V3.11 *** sp|Q96480|P5CS_SOLLC)
Solyc08g043160.1.1 ,Protein TIC 214 (AHRD V3.3 *-* W5TZQ6_9LAMI)
Solyc08g043140.4.1 ,"C2 domain, Arf GTPase activating protein (AHRD V3.3 *** A0A2U1KMA0_ARTAN)"
Solyc08g043147.1.1 ,Unknown protein
Solyc08g042140.3.1 ,translation initiation factor 3 subunit I (AHRD V3.3 *** AT1G54680.4)
Solyc08g042130.2.1 ,Phox (PX) domain-containing protein (AHRD V3.3 *** A0A1P8B1Z4_ARATH)
Solyc08g042120.1.1 ,PX domain-containing protein ERE.1
Solyc08g042110.1.1 ,Unknown protein
Solyc08g042100.3.1 ,RING-type E3 ubiquitin transferase (AHRD V3.3 *-* A0A218WUJ5_PUNGR)
Solyc08g042090.1.1 ,Unknown protein
Solyc08g042080.3.1 ,protein MULTIPLE CHLOROPLAST DIVISION SITE.1
Solyc08g160690.1.1 ,Floral homeotic protein APETALA 2 (AHRD V3.11 *-* tr|A0A1U8HBN2|A0A1U8HBN2_CAPAN)
Solyc08g042070.2.1 ,Long chain base biosynthesis protein 2d (AHRD V3.3 *-* A0A2G2X885_CAPBA)
Solyc08g042060.2.1 ,Unknown protein
Solyc08g042050.3.1 ,RNA helicase DEAD25
Solyc08g042040.4.1 ,Kinesin-like protein (AHRD V3.3 *-* A0A328E6H2_9ASTE)
Solyc08g042030.3.1 ,Kinesin-like protein (AHRD V3.3 *** A0A328E6H2_9ASTE)
Solyc08g042020.1.1 ,Beta-glucosidase 10 (AHRD V3.3 *-* A0A2G2ZW54_CAPAN)
Solyc08g042025.1.1 ,Unknown protein
Solyc08g042010.5.1 ,Exostosin-like (AHRD V3.11 *** tr|A0A200R599|A0A200R599_9MAGN)
Solyc08g042000.3.1 ,Sucrose phosphate synthase (AHRD V3.3 *** I7EKT3_LITCN)
Solyc08g041980.3.1 ,ER membrane protein complex subunit 7-like protein (AHRD V3.3 *** A0A2G2YWL6_CAPAN)
Solyc08g041970.1.1 ,Unknown protein
Solyc08g160700.1.1 ,RNA-directed DNA polymerase (AHRD V3.11 *** tr|A0A2I0WHA1|A0A2I0WHA1_9ASPA)
Solyc08g041930.1.1 ,Unknown protein
Solyc08g041920.1.1 ,Unknown protein
Solyc08g150118.1.1 ,Unknown protein
Solyc08g041890.4.1 ,Importin subunit alpha (AHRD V3.3 *** A0A1U8E1A1_CAPAN)
Solyc08g041870.3.1 ,Aspartate aminotransferase (AHRD V3.3 *** A0A2G2W5G8_CAPBA)
Solyc08g041860.1.1 ,serine/arginine repetitive matrix-like protein (AHRD V3.3 *-* AT4G32020.1)
Solyc08g041865.1.1 ,Unknown protein
Solyc08g041850.4.1 ,"Homogentisate phytyltransferase 1, chloroplastic (AHRD V3.3 *** A0A1J3IU50_NOCCA)"
Solyc08g160720.1.1 ,Zinc finger BED domain-containing protein RICESLEEPER 2 (AHRD V3.11 *** tr|A0A1J3K3X9|A0A1J3K3X9_NOCCA)
Solyc08g041820.3.1 ,Homeobox protein knotted-1-like 3-like (AHRD V3.3 *** A0A2K3PJ30_TRIPR)
Solyc08g041810.1.1 ,hypothetical protein (AHRD V3.3 *-* AT5G35090.1)
Solyc08g160730.1.1 ,E3 ubiquitin-protein ligase UPL5-like (AHRD V3.11 --* XP_010312238.1)
Solyc08g041780.3.1 ,Neurochondrin (AHRD V3.3 *** A0A200QBZ7_9MAGN)
Solyc08g160230.1.1 ,Zinc finger BED domain-containing protein RICESLEEPER 2 (AHRD V3.11 *-* tr|A0A2U1P6B7|A0A2U1P6B7_ARTAN)
Solyc08g041770.3.1 ,Hyp O-arabinosyltransferase-like protein (AHRD V3.3 *** AT5G13500.3)
Solyc08g041760.2.1 ,Histone-lysine N-methyltransferase (AHRD V3.3 *-* A0A0D3H9X4_9ORYZ)
Solyc08g041750.3.1 ,LOW QUALITY PROTEIN: uncharacterized protein LOC110807046 (AHRD V3.3 --* XP_021887758.1)
Solyc08g041740.1.1 ,SET domain-containing protein/PHD_2 domain-containing protein/zf-HC5HC2H_2 domain-containing protein (AHRD V3.3 *-* A0A1Q3AYB1_CEPFO)
Solyc08g041710.3.1 ,envelope glycoprotein B (AHRD V3.3 *** AT1G80540.1)
Solyc08g041700.1.1 ,GRAS family transcription factor family protein (AHRD V3.3 *** AT5G19970.1)
Solyc08g041690.1.1 ,histone-lysine N-methyltransferase (AHRD V3.3 *-* AT4G26240.1)
Solyc08g041680.1.1 ,Unknown protein
Solyc08g160020.1.1 ,Conserved oligomeric Golgi complex subunit 4 (AHRD V3.11 *-* tr|A0A2G2WG41|A0A2G2WG41_CAPBA)
Solyc08g041670.2.1 ,F-box domain-containing protein/FBD domain-containing protein (AHRD V3.3 *** A0A1Q3BUG5_CEPFO)
Solyc08g160740.1.1 ,UBN2_3 domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3AQH1|A0A1Q3AQH1_CEPFO)
Solyc08g160750.1.1 ,F-box/FBD/LRR-repeat protein At1g13570-like (AHRD V3.11 *-* XP_010324854.1)
Solyc08g160760.1.1 ,F-box/FBD/LRR-repeat protein (AHRD V3.11 *** tr|A0A2K3NGD2|A0A2K3NGD2_TRIPR)
Solyc08g160240.1.1 ,zinc finger BED domain-containing protein RICESLEEPER 2-like (AHRD V3.11 *-* XP_025884969.1)
Solyc08g041663.2.1 ,Galactokinase (AHRD V3.11 *-* tr|A0A2G2XNT1|A0A2G2XNT1_CAPBA)
Solyc08g041664.2.1 ,zinc finger BED domain-containing protein RICESLEEPER 2-like (AHRD V3.11 *-* tr|A0A2I4EGG2|A0A2I4EGG2_9ROSI)
Solyc08g160770.1.1 ,MP domain-containing protein (AHRD V3.11 -** tr|A0A1Q3CUG1|A0A1Q3CUG1_CEPFO)
