Affy_identifier,T0 no addition,30min no addition,3hrs no addition,30 min 3mM KCl,3 hrs 3mM KCl,30 min 3mM KNO3 (A),30min 3mM KNO3 (B),3hrs 3mM KNO3 (A),3hrs 3mM KNO3 (B),Full nutrition (A),Full nutrition (B),Full nutrition (C ),Gene product
256311_at,76.7,59.2,88.8,57.5,64.8,51.4,49.7,60.6,61.1,49.3,81.1,69.4," auxin response factor 6 (ARF6) identical to ARF6 [Arabidopsis thaliana] GI:4102600 (Science 276 (5320), 1865-1868 (1997)); supported by cDNA: gi_4102599_gb_AF013467.1_AF013467  "
256312_x_at,1.3,5.9,0.4,6.1,0.7,5.6,2.5,3.4,0.7,1.3,0.3,0.9,hypothetical protein
256313_s_at,0.2,0.2,0.6,0.3,0.3,0.2,0.3,0.4,0.3,0.2,0.3,0.3," RNA-binding protein, putative contains Pfam profile: PF00806: Pumilio-family RNA binding domains (aka PUM-HD, Pumilio homology domain) "
256314_at,1.3,3.1,1.7,2.6,2.2,0.8,1.3,7.7,6.9,5,6.6,7.9,hypothetical protein
256315_at,7.8,5.1,5.1,7,8.4,9.1,7.4,8,5.4,9.5,11.5,7.2,hypothetical protein predicted by genemark.hmm
256316_at,13.9,6.7,4.4,11.7,9.7,8.3,11.1,12.2,8,10.8,6.7,10.5,hypothetical protein
256317_at,0.8,1.4,0.8,1.5,1.3,0.8,0.8,1.2,0.6,1,1.6,1.1,hypothetical protein predicted by genemark.hmm
256318_s_at,6.9,1.4,1.5,3,6.2,3.5,6.4,3.2,3.7,4.4,2.5,4.9,hypothetical protein
256319_at,108.8,78.1,65.3,56.2,52.8,42.6,59.8,21.9,23.4,14.1,1,0.5," trehalose-phosphatase, putative contains TIGRfam profile: TIGR00685: trehalose-phosphatase;supported by full-length cDNA: Ceres:255364. "
256320_at,22,13.6,19.5,21.4,15.4,24.7,21.1,17.4,20.2,22.6,37.9,28.8," DnaJ protein, putative contains Pfam profile: PF00226 DnaJ domain "
256321_at,460,659.9,630.8,701,708.9,535,352.7,562.3,341.2,547.9,250.5,140.1," lipoxygenase, putative similar to lipoxygenase GI:1407704 from [Solanum tuberosum]; supported by cDNA: gi_289202_gb_L04637.1_ATHLIPOXY  "
256322_at,245.5,235.2,239.2,223.4,248.9,251,233,189.5,213.2,189.9,171,171.1,unknown protein ; supported by cDNA: gi_15983467_gb_AF424608.1_AF424608
256323_at,81.1,80.4,94.5,82.6,78.7,73.3,79.7,66.1,56.4,99.7,64.5,77.3,unknown protein ; supported by cDNA: gi_16930484_gb_AF419596.1_AF419596
256324_at,3.8,7.9,11.1,15.6,7.5,29.6,39.4,23.2,3.1,21.4,8.1,16.2," MATE efflux family protein, putative contains TIGRfam profile: TIGR00797: MATE efflux family protein "
256325_at,7.6,4.8,5.1,10.8,11.9,16.2,4.9,18.4,17,15.9,3.4,3.2,hypothetical protein
256326_at,96.7,109.3,111.4,121.6,90.7,71.5,84.6,80.7,64.9,59.9,89.5,86.1," RING zinc-finger protein, putative contains Pfam profile: PF00097 Zinc finger, C3HC4 type (RING finger) "
256327_at,256,266.5,250.7,322.1,278,300.7,282.4,344,300.3,291,296,265.3,unknown protein ;supported by full-length cDNA: Ceres:110819.
256328_at,1294.9,1352.3,1380.9,1186,1201.3,1138,1244.5,964.4,1045.2,1064.3,868.1,830," 6-phosphogluconate dehydrogenase, putative similar to 6-phosphogluconate dehydrogenase GB:BAA22812 GI:2529229 [Glycine max];supported by full-length cDNA: Ceres:34412. "
256329_at,200.3,182.6,223,233.8,188.3,195,193.2,153.3,155.3,204.7,190.1,226.6,unknown protein
256330_at,14.2,12.9,12.4,12.3,14.2,17.6,13.4,20.4,12.4,22.9,14.1,16,hypothetical protein predicted by genemark.hmm
256331_at,63.9,54.2,48.2,67.9,52.1,63.1,53.3,66.4,86.5,41.4,28.2,38.1," GT-like trihelix DNA-binding protein, putative similar to GT2 [Arabidopsis thaliana] GI:2664202, GI:416490 "
256332_at,45.2,54.2,48.9,48,46,42.4,58.8,91.4,84.7,74.5,78,90.5," trihelix DNA-binding protein (GT2) identical to GT2 factor [Arabidopsis thaliana] GI:416490, GI:2664202 (DNA binding factor GT-2 from Arabidopsis);supported by full-length cDNA: Ceres:3190. "
256333_at,114.7,115.6,130.1,126.7,120.3,104.6,131.7,126.1,154.8,113.3,142.3,138.5,Sm-like protein contains Pfam profile: PF01423: Sm protein; supported by full-length cDNA: Ceres: 23170.
256334_at,40.1,33.9,34.9,33.7,44,52.1,49.2,39.4,49.8,20.6,17,19.7," oligopeptide transporter, putative similar to LeOPT1 [Lycopersicon esculentum] GI:4102839 "
256335_at,1.3,0.7,2,6.8,6,4.2,6.7,10.1,1.1,7.7,1.8,0.7,hypothetical protein predicted by genemark.hmm
256336_at,89.1,75,81.6,77.4,77.3,41.3,57.4,45.4,45.9,109.3,117.7,162.8,unknown protein
256337_at,22,24.2,19.8,21.1,29.8,26.3,19.6,78.4,21,280.7,226.2,80.6,unknown protein
256338_at,0.6,2.1,0.6,1,0.5,0.7,4.4,1.4,0.3,1.1,0.9,0.9,hypothetical protein similar to seed maturation protein PM27 [Glycine max] GI:4836403
256339_at,1.9,3.3,1.4,1.7,1.1,1.7,1.6,1.8,2.2,1.7,1.4,1.7,hypothetical protein
256340_at,5.1,11.7,7.3,17.1,14.3,3.1,14.3,21.8,20.2,16.7,32.6,18," DnaJ protein, putative contains Pfam profile: PF00226: DnaJ domain;supported by full-length cDNA: Ceres:25569. "
256341_at,75.4,101.3,114.9,104.2,90.4,95,75.5,138.3,174.8,90.9,82.3,104.3," deoxyguanosine kinase, putative similar to deoxyguanosine kinase [Homo sapiens] GI:1480198;supported by full-length cDNA: Ceres:3878. "
256342_at,867.5,746.4,833.3,827.2,803,833,979.9,855.7,1085.5,761.5,801.7,809.4,unknown protein ; supported by full-length cDNA: Ceres: 2031.
256343_at,95.4,109.1,122,104.9,130.3,123.9,74.9,137.2,130.4,94,134.5,113.9,unknown protein ; supported by cDNA: gi_14194136_gb_AF367274.1_AF367274
256344_at,126.7,103.8,137.3,132.6,122.3,146.1,140.4,196.8,218.1,114.2,113.2,129.1," C2H2-type zinc finger protein, putative contains multiple zinc finger domains: PF00096: Zinc finger, C2H2 type; supported by cDNA: gi_15809914_gb_AY054225.1_  "
256345_at,5.5,4.1,4.9,7,8.5,9.4,6.6,9.4,2,6.6,2.4,3.9,hypothetical protein similar to hypothetical protein GI:7669942 from [Arabidopsis thaliana]
256346_s_at,0,0.1,0.4,1.1,0.1,0,0.1,0.1,0,0,0,0,unknown protein
256347_at,5,2.6,0.6,0.8,1.4,2.8,3.3,1.2,2.4,2.1,0.3,3.6,unknown protein similar to putative disease resistance protein GI:4115359 from [Arabidopsis thaliana]
256348_at,0.6,0.4,0.7,0.6,0.5,0.8,0.6,1.8,0.9,0.9,0.4,0.3,hypothetical protein predicted by genemark.hmm
256349_at,66.7,98.5,98.3,105.7,91.7,70.1,57.2,149.9,138.8,82.4,97.9,106.2," late embryogenesis protein, putative similar to late embryogenesis abundant protein (EMB7) GI:1350542 from [Picea glauca] "
256350_at,15.9,8.5,13.3,13.7,13.5,17.9,17.1,16.3,18.3,11,19.3,15.7,hypothetical protein contains similarity to glycosyl transferase GI:7021339 from [Sinorhizobium meliloti]
256351_at,56.1,50,55.9,48.3,54.5,60.2,49.8,45.9,37.2,43.9,41,43.5," NPK1-related protein kinase, putative similar to NPK1-related protein kinase 2 GI:2342425 from [Arabidopsis thaliana] "
256352_at,75.7,146.7,127.8,162.5,267.3,104.5,72.8,198.6,79,216.9,251,153.1," proline-rich protein, putative similar to proline-rich protein GI:170048 from [Glycine max] "
256353_at,64.8,113.2,72.6,75.2,92.4,73.2,65.7,113.5,84.7,138.3,207.5,185.3,unknown protein ; supported by full-length cDNA: Ceres: 38207.
256354_at,10.8,4.5,4.3,4.4,10.9,11.7,8.1,10.7,5.2,7.5,1,5.7," dormancy related protein, putative similar to dormancy related protein GI:1220178 from [Trollius ledebourii]; supported by cDNA: gi_13937154_gb_AF372931.1_AF372931  "
256355_at,7.6,4.7,15.2,6.5,8.3,3.9,2.2,14.8,14.6,4.4,4,14.7,hypothetical protein predicted by genemark.hmm; supported by cDNA: gi_15293146_gb_AY051007.1_
256356_s_at,32.2,37.7,42.4,54.3,48.8,66.3,42.7,86.9,25.3,21.2,18.7,17.5,hypothetical protein
256357_at,7.2,3,4.7,6.7,2.6,8,3.5,6.7,0.4,0.8,2.3,5.5,hypothetical protein
256358_at,35.2,27.5,30.9,27.7,33.4,26.3,40.3,23.1,28.3,16.1,6.7,18.7,unknown protein
256359_at,0.6,5,4.1,0.4,0.6,1.7,0.8,2,5,3.3,1.6,0.5," protein kinase, putative contains Pfam profile: PF00069: Eukaryotic protein kinase domain "
256360_at,65.9,59.1,57.9,66.9,61,124.1,129.3,41.8,49.2,32.2,39.9,39.4,hypothetical protein
256361_at,23.5,20.3,19.3,32.4,19.5,35.5,25.2,39.4,22.3,33.8,32.5,27.5," formyl transferase, putative contains Pfam profile: PF00551: Formyl transferase "
256362_at,32.3,25.5,30.1,26.2,27.4,43.4,46,28.4,32.1,13.9,22.9,17.5,hypothetical protein
256363_at,30,38.8,36.8,34.5,38.5,45,29.5,41,32.4,28.5,31.9,24.2,unknown protein ; supported by cDNA: gi_15529199_gb_AY052224.1_
256364_at,13.7,5.5,9.7,12.8,15.1,8.2,8.9,17.6,6.8,9.9,2.6,4.9," wrky-type DNA binding protein, putative similar to DNA-binding protein 3 [Nicotiana tabacum] GI:7406995; supported by cDNA: gi_15991731_gb_AF421154.1_AF421154  "
256365_at,107,104.6,114.9,129.4,104.4,103.1,106.6,114.4,124.8,96.5,120.9,124.2,arginyl-tRNA synthetase nearly identical to arginyl-tRNA synthetase [Arabidopsis thaliana] GI:2632103; supported by cDNA: gi_14030684_gb_AF375433.1_AF375433
256366_at,205.5,229,204.8,191.1,201.5,148.1,133.1,128.2,83.5,100.8,99.9,31.4," protein kinase, putative contains Pfam profile: PF00069: Eukaryotic protein kinase domain "
256367_at,22.9,23.2,23.3,25.8,26.7,17.8,26.6,20.2,15,18.3,16.9,17.2," C-x8-C-x5-C-x3-H type Zinc finger protein, putative contains Pfam profile: PF00642: Zinc finger C-x8-C-x5-C-x3-H type (and similar) "
256368_at,330.4,506.2,507.9,512.1,629.9,442.6,326,426.9,412.8,206.6,107,146.2," cinnamyl alcohol dehydrogenase, putative similar to cinnamyl alcohol dehydrogenase [Eucalyptus gunnii] GI:1143445 "
256369_at,4.3,2.4,0.7,1.5,2.1,0.1,2.6,0.2,1.1,2.7,0,0,hypothetical protein predicted by genemark.hmm
256370_at,12.2,6.1,8.4,15.5,8.3,12.3,12.2,12.5,13.6,8.5,7.5,9.7," MATE efflux family protein, putative contains TIGRfam profile: TIGR00797: MATE efflux family protein "
256371_at,18.5,10.6,9.3,16.9,12.7,25.8,17.5,24.9,15.4,19.4,6.9,14.6,hypothetical protein
256372_at,70.2,94.8,97.6,79,91.1,101.3,96.6,93.8,80.2,64.1,65.2,54," cell division protein kinase, putative similar to cell division protein kinase 7 (CDK7) [Mus musculus (Mouse)] SP:Q03147 "
256373_at,92.5,82.9,90,98.5,87.8,114.6,113.4,102.9,101.4,81.3,88.2,80.8,hypothetical protein
256374_at,19,12.6,6.3,14.5,15.2,10.4,10.8,10.2,9.2,11.3,8.1,11.2," DNA ligase I, putative similar to DNA ligase I [Homo sapiens] GI:187143 "
256375_at,7.4,11.1,4.6,7.4,6,7.1,5.2,8.4,8.1,8.6,1.4,1.6,unknown protein
256376_s_at,53.7,54.7,88.8,46.1,37.6,9.3,10.2,22.8,16.3,9.6,9.8,8.6,unknown protein
256377_at,11.5,12.6,11.1,15.3,15.5,19.2,15.6,17.2,10.5,10.2,0.5,2.6,hypothetical protein
256378_at,11.3,18.2,18.3,14.8,12.5,20.8,12.5,10.7,6.7,21,7.6,14," receptor protein kinase, putative contains Pfam profiles: PF00069: Eukaryotic protein kinase domain, multiple PF00560: Leucine Rich Repeat "
256379_at,11.9,7.5,5.3,13.6,7.3,18.8,10.1,11,5.1,22.3,13.6,16,hypothetical protein predicted by genscan+
256380_at,198.5,195.2,211.2,198.1,201,187.5,184.1,204.6,224.2,173.1,205.2,181.9," pheromone receptor, putative (AR401) identical to AR401 [Arabidopsis thaliana] GI:1669601;supported by full-length cDNA: Ceres:3969. "
256381_at,8.5,3.9,6.9,3,6.9,11.2,9.5,7.3,6.6,1.1,0.9,6.4," lipid transfer protein, putative contains Pfam profile: PF00279: Plant lipid transfer protein family;supported by full-length cDNA: Ceres:25093. "
256382_at,5.5,17.2,19.5,41.6,18.9,44.5,7,80.3,12.9,47.5,4.5,7.5,unknown protein ;supported by full-length cDNA: Ceres:100969.
256383_at,32.2,34.4,30,29.9,27.4,36,29.9,44.1,36.7,76.3,108.5,113.3,hypothetical protein ; supported by full-length cDNA: Ceres: 107260.
256384_at,41.9,72.2,75.8,64,69.1,66.8,66.1,89.4,74.7,54.2,58.5,49.5,hypothetical protein
256385_at,1085.4,1082.9,1044.3,1049.2,1015.6,1022.7,1065.1,1091.3,1196.9,881,1145.7,1063," 60S ribosomal protein L10, putative contains Pfam profile: PF00826: Ribosomal L10;supported by full-length cDNA: Ceres:35307. "
256386_at,40.9,38.9,42,49.2,41.3,38.6,29,45.5,26.9,29,33.3,32.6," cytochrome P450, putative contains Pfam profile: PF00067: Cytochrome P450 "
256387_at,339.8,355.1,394.2,333,372.2,327.4,344.4,220,247.3,234.3,221.8,219.4,hypothetical protein
256388_at,25,28.2,25.8,21.6,16.4,26.8,23.3,20.3,19.9,22.9,13,25.9,unknown protein
256389_at,4.6,1,0.8,0.6,1.3,1.5,4,1.4,6.1,0.4,0.7,0.4,hypothetical protein predicted by genefinder
256390_at,1.5,1,1.3,1.4,2.9,1.4,1.3,1.6,1.7,1.3,1.5,1.1,putative MAP kinase similar to MAP kinase kinase 5 GB:BAA28831 [Arabidopsis thaliana]; contains Pfam profile: PF00069 Eukaryotic protein kinase domain
256391_at,9.7,6.4,3.1,4,7.2,11.2,7.8,6.3,5.8,4.3,1.6,7.9,hypothetical protein predicted by genscan+
256392_at,8.2,3.9,7.7,7.1,10.5,11.6,8.1,10.6,3.5,12.6,9.2,4.5,putative glycosyl transferase contains Pfam profile: PF01501 glycosyl transferase family 8
256393_at,4.8,4.8,6.2,7.8,5.7,8.2,5.2,7.5,6.8,5.4,7.2,6.5,hypothetical protein
256394_at,46.7,35.7,40.8,34,39.4,43.7,41.8,41.5,36.5,39.3,33.6,34.8,unknown protein contains non-consensus donor splice site TT at exon 11 and CT at exon 13
256395_at,1.5,3.6,1.2,1.5,4.2,1,2,0.6,1.1,1.5,0.8,5.8,putative helix-loop-helix DNA-binding protein contains Pfam profile: PF00010 helix-loop-helix DNA-binding domain
256396_at,49.2,71,50.8,40.5,58.9,42.9,48.2,52,78.6,61,65.2,90.6,unknown protein
256397_at,232.8,183.5,208.7,185.8,192.3,272,280.3,207.1,269.7,154.3,183.2,176.8,putative dual-specificity protein phosphatase similar to dual-specificity protein phosphatase GB:CAA77232 [Arabidopsis thaliana];supported by full-length cDNA: Ceres:17858.
256398_at,22.8,14.7,6,20.5,20.9,32.9,27.9,23.9,22.3,21.8,16.8,34,putative major intrinsic protein contains Pfam profile: PF00230 major intrinsic protein; contains non-consensus TT acceptor splice site at exon 4;supported by full-length cDNA: Ceres:38482.
256399_at,103.7,106.1,132.5,109.8,105.7,98,90.2,82.7,59.8,95.7,116.9,109.6,hypothetical protein predicted by genefinder;supported by full-length cDNA: Ceres:108003.
256400_at,28.5,23.6,26.6,22.7,27.6,22.4,24.2,22,23.7,24.7,28.4,31.3," putative RING zinc finger protein contains Pfam profile: PF00097 Zinc finger, C3HC4 type (RING finger);supported by full-length cDNA: Ceres:40787. "
256401_at,41.1,43.3,35.8,46.9,41.1,45.9,35.1,50.5,58.8,40.3,38,46.7,putative guanylate kinase similar to guanylate kinase (GmK) GB:AAD31506 [Salmonella typhimurium]; contains Pfam profile: PF00625 guanylate kinase; supported by cDNA: gi_14190398_gb_AF378877.1_AF378877
256402_at,143.1,128.1,121.6,105.7,115.3,78.7,79.4,54.8,66.3,58.1,51.3,80,hypothetical protein  ; supported by cDNA: gi_15010767_gb_AY045685.1_
256403_at,106.3,111.2,86.9,92.7,96.3,108.1,107.4,106.9,108.9,97.7,88.5,98.2,unknown protein similar to SPOP (novel nuclear speckle-type protein) GB:CAA04199 [Homo sapiens]; supported by cDNA: gi_15028068_gb_AY045891.1_
256404_at,34.8,21.2,36.7,39.5,39,34.9,35,32.6,27.8,28.9,21.2,26.4,unknown protein similar to far-red impaired response protein GB:AAD51282 [Arabidopsis thaliana]; supported by cDNA: gi_13430715_gb_AF360270.1_AF360270
256405_at,43.5,37,38.4,27.6,32.8,50,37.8,36.2,34,26.2,23.6,26.6,calcium-dependent protein kinase similar to calcium-dependent protein kinase [Nicotiana tabacum] GI:3283996
256406_at,38.5,32.7,36.2,38.2,35.7,38.2,34.6,38.4,32.5,45.3,37.4,50,unknown protein
256407_at,8.8,3.1,8.7,3.8,5.9,5.7,6.3,2.7,2.6,0.8,0.5,3.5," sucrose-proton symporter, putative similar to sucrose-proton symporter [Arabidopsis thaliana] GI:407094 "
256408_at,2.5,1.2,1.7,2.5,1.6,2.5,2.3,2.1,1.2,1.5,2.3,0.7,hypothetical protein
256409_at,61.7,53.5,60.5,52.5,41,65.7,48.2,62.3,45.3,56.4,58.1,60.3,hypothetical protein
256410_at,3.4,1.1,3,3.7,2,7.1,5.1,4.3,4.5,3.2,2.2,0.9,hypothetical protein
256411_at,436.9,358.9,283.5,318,288.5,318.8,423.4,234,339,521.6,635.1,529.3,ATP-dependent Clp protease proteolytic subunit (ClpP3) identical to ATP-dependent Clp protease (nClpP3) GI:5360591 (Arabidopsis thaliana)
256412_at,27.9,17.6,17.8,22.6,25.1,27.6,27.6,36.7,40.1,19.6,15.5,16.9,hypothetical protein predicted by genemark.hmm; supported by cDNA: gi_17063184_gb_AY062115.1_
256413_at,62.1,88.4,71,68.5,78.3,64.2,69.7,72.8,61,48.5,48.2,47.4,hypothetical protein predicted by genemark.hmm; supported by full-length cDNA: Ceres: 126401.
256414_at,216.6,210,199.1,183.5,201.5,206.4,217.6,216,244,151.1,165.6,153,putative nucleic acid binding protein similar to nucleic acid binding protein Alfin-1 GB:AAA20093 [Medicago sativa]; supported by full-length cDNA: Ceres: 13297.
256415_at,45.6,23.2,27.9,20.6,28.9,20.8,42.4,21.7,32.6,42.9,49.4,39.1,unknown protein ; supported by full-length cDNA: Ceres: 21357.
256416_at,19.7,30.8,30.1,35.9,32.7,38.7,20.6,34.4,19.8,19.8,20.4,22.8," ferritin subunit, putative similar to ferritin subunit cowpea2 precursor GI:2970654 (Vigna unguiculata); supported by full-length cDNA: Ceres: 5710.  "
256417_s_at,91.2,136.6,156.6,241.5,157.5,185.6,134.3,224.8,163.7,528,500.5,618.7," omega-3 fatty acid desaturase, chloroplast precursor identical to omega-3 fatty acid desaturase, chloroplast precursor SP:P46310 (Arabidopsis thaliana (Mouse-ear cress)); supported by cDNA: gi_14488093_gb_AF389295.1_AF389295  "
256418_at,3.7,3.1,0.9,0.8,1.7,1.7,2.1,1.6,0.6,1.4,0.4,1,hypothetical protein
256419_at,22.9,39.4,34.1,30.4,29.4,23.5,17.5,34,37,18.2,22.5,30.6,RNA-binding protein similar to GI:829254 from [Arabidopsis thaliana]
256420_at,19.4,13.2,7.9,16.6,8.9,19.6,21.3,14.1,12.6,21.2,19,21.6,unknown protein
256421_at,4.3,4.3,5.1,4.6,7,5.5,1.2,6.3,3.6,5.7,3.8,5.1,hypothetical protein predicted by genemark.hmm
256422_at,97.6,93.2,94.9,80,87.5,90.4,79.4,80.8,63.1,59.6,83.4,82.3,unknown protein
256423_at,18.2,15.4,18.2,15.4,13.7,11.2,17.3,8.8,13,6.4,3.1,7," serine carboxypeptidase, putative similar to GI:8777303 from [Arabidopsis thaliana] (DNA Res. 7 (1), 31-63 (2000)) "
256424_at,155.2,155.2,146.9,166.2,142.9,118.7,159.7,122.3,112.7,125.1,116,130,unknown protein ;supported by full-length cDNA: Ceres:92215.
256425_at,205.2,298.9,334.1,306.6,303.7,163.2,138.3,117.2,84.1,117.1,107.4,56.9," disease resistance protein, putative similar to disease resistance protein RPP1-WsB GB:BAB01321 GI:9279731 from (Arabidopsis thaliana) "
256426_at,38.7,31.8,34.5,33.1,33,18.5,21.1,30.1,29.7,23.2,24.7,22.9,hypothetical protein predicted by genscan+; supported by cDNA: gi_14334761_gb_AY035054.1_
256427_at,58.7,30.3,34.7,23.4,27.1,25.6,29.1,13.2,19.1,24.7,23.1,21.1,hypothetical protein predicted by genscan
256428_at,46,31.4,42.6,26.2,32.6,25.8,28.2,11.1,12.1,9.5,12.8,6.8,putative disease resistance protein similar to disease resistance protein GB:AAC78591 [Lycopersicon esculentum]
256429_at,31.2,32.9,34.3,31.7,34.9,34.7,28,26,23.4,29.5,22.8,25.9,unknown protein
256430_at,9.7,7.6,10.3,11.1,10.3,15.7,14.8,21.3,18.6,15,10.3,12.3,DREB2B transcription factor identical to dehydration response element binding transcription factor DREB2B GB:BAA33795 [Arabidopsis thaliana]; supported by cDNA: gi_3738231_dbj_AB007791.1_AB007791
256431_s_at,149.5,93.8,99.8,71.5,78.4,103.3,90.5,34.6,27.4,25.7,20.6,18.5,putative disease resistance protein similar to disease resistance protein GB:AAC78591 [Lycopersicon esculentum]
256432_at,8.5,2.4,3.1,8.6,5.3,15.3,10.6,8,6.6,4.3,6.3,5.7,hypothetical protein similar to hypothetical protein GB:AAD26472 [Arabidopsis thaliana]
256433_at,378.3,451.7,430.2,465.5,571.4,324.5,199.8,428.5,261.6,583.1,240.1,184.2,unknown protein
256434_at,3.5,0.2,1.5,0.5,0.3,0.3,0.5,0.4,0.7,0.4,0.1,0.4,putative 60S ribosomal protein L37a similar to putative 60S ribosomal protein L37a GB:AAD28753 [Gossypium hirsutum]
256435_at,8,5.6,8,8,7.4,9.1,4.9,2.1,7.7,2.5,3,5,putative leucoanthocyanidin dioxygenase similar to leucoanthocyanidin dioxygenase GB:BAA20143 [Perilla frutescens]
256436_at,36.4,35.4,41.8,44.7,41.5,34.4,29.5,36.4,24.8,39.9,9.9,13.9,hypothetical protein predicted by genefinder
256437_s_at,1182.7,976.2,1093.3,1014.2,1173,857.6,872.9,914.1,1010.6,781.9,522,757.5,putative clathrin heavy chain similar to clathrin heavy chain GB:AAC49294 [Glycine max]
256438_s_at,883.6,575.3,533,704.3,572.5,703.7,758.7,876.4,936.6,839,1128.7,1239.1,ribosomal protein L41 identical to ribosomal protein L41 GB:AAA79268 [Pisum sativum]
256439_at,849.2,1074.9,931.9,847.5,915.9,798.5,894.7,797.2,900.7,1017.5,934.9,842.3,putative [Mn] superoxide dismutase similar to manganese superoxide dismutase GB:AAC24832 [Arabidopsis thaliana];supported by full-length cDNA: Ceres:14503.
256440_at,173,257.8,239.8,228.4,224.5,166,168.9,138.3,155.7,278.5,311.7,299.5,unknown protein  ;supported by full-length cDNA: Ceres:33407.
256441_at,70.7,66.1,82.5,68.3,69.8,54.7,64.9,56.6,39.7,77.9,88.8,99,unknown protein  ;supported by full-length cDNA: Ceres:3056.
256442_at,52.2,56.7,72.1,105.8,102.6,62,40.9,201.5,73.3,55.8,59,18,hypothetical protein predicted by genefinder;supported by full-length cDNA: Ceres:12509.
256443_at,78.4,77,55.6,93.5,74.4,56.8,54.8,49.4,74.3,40.6,47.4,55.3,hypothetical protein similar to hypothetical integral membrane protein GB:CAA21902 [Schizosaccharomyces pombe];supported by full-length cDNA: Ceres:19901.
256444_at,6.3,4.4,0.7,3.8,6.7,6.6,4.2,4.3,4.1,4.9,1.7,1.7,hypothetical protein predicted by genemark.hmm
256445_at,2.4,2.4,4,4.9,2.4,2,0.4,4,2.7,4.1,0.5,0.3,hypothetical protein predicted by genemark.hmm
256446_at,12.6,2.1,7,11.2,9.7,9.4,13.6,16.3,11.3,18.7,10.7,20.5," RING zinc finger protein contains Pfam profile: PF00097 Zinc finger, C3HC4 type (RING finger) "
256447_at,31.5,28.4,30.3,25.4,25.7,34.6,39.1,42.5,96.5,15.5,15.7,18.2," nitrate transporter NTL1, putative similar to GI:3377517 from [Arabidopsis thaliana] "
256448_s_at,2.1,1.1,1.7,2.1,1.1,2.4,0.6,2,4.7,1.6,1.3,0.6,unknown protein
256449_at,1.2,1.1,0.5,0.8,1.7,0.8,7,4.2,3.6,0.9,0.4,1," mutator transposase MUDRA, putative similar to GI:595815 from [Zea mays] (Genetics 140 (3), 1087-1098 (1995)) "
256450_at,25.9,20.9,25.4,14.9,18.5,26.1,28.7,19.9,11.7,4.6,1.5,5.7," NADPH oxidoreductase, putative similar to GI:1708420 from [Arabidopsis thaliana] (J. Biol. Chem. 270 (44), 26224-26231 (1995)) "
256451_s_at,194.4,189.1,182.1,174.6,178.9,181.8,171.9,138.6,111.5,109.7,124.8,92.4,unknown protein
256452_at,37.4,56.3,46.6,58.2,40.4,52.5,40.1,77.8,98.7,79,93.2,103.6,hypothetical protein predicted by genemark.hmm;supported by full-length cDNA: Ceres:10873.
256453_at,234.5,222.8,231,211,191.6,214.6,235.3,334.7,346.9,208.8,203.7,149.1," GSH-dependent dehydroascorbate reductase 1, putative similar to GI:6939839 from [Oryza sativa];supported by full-length cDNA: Ceres:35711. "
256454_at,485.3,591.1,531.7,576.2,529.7,534.5,535.7,542.5,540.6,375.1,394.3,415.7," NADPH oxidoreductase, putative similar to GI:1708420 from [Arabidopsis thaliana] (J. Biol. Chem. 270 (44), 26224-26231 (1995));supported by full-length cDNA: Ceres:11944. "
256455_at,10.6,8.7,10.1,8.1,11.9,7.5,9.9,19,17.6,20.1,25.3,37.2,unknown protein ;supported by full-length cDNA: Ceres:14433.
256456_at,50.5,43.1,32.1,42.5,45,42.6,39.7,56.4,57.4,66.6,57,92.1,unknown protein ; supported by full-length cDNA: Ceres: 148308.
256457_at,63.9,31.2,46,59.9,49.8,57,61.1,60.4,51.2,57.1,56.2,76.3," 3-methyladenine DNA glycosylase, putative similar to GI:1669515 from [Schizosaccharomyces pombe] (Gene 177 (1-2), 229-235 (1996)); supported by cDNA: gi_15293164_gb_AY051016.1_  "
256458_at,166.2,208.5,184.1,230.7,216.2,252.6,215.7,291.5,246,394.9,319.3,348.1," integral membrane protein, putative similar to GI:1209755 from [Beta vulgaris] (Plant Physiol. 110 110 (2), 511-520 (1996)); supported by cDNA: gi_15724239_gb_AF412060.1_AF412060  "
256459_at,19.1,45.8,46.1,42.6,52.2,48.6,21.1,38.4,14.3,52.8,26.9,37.8," acetyl-CoA carboxylase, putative similar to GI:1100253 from [Arabidopsis thaliana] "
256460_at,18.5,6.5,10.2,11.5,10.5,15.9,14.2,16.5,14.8,18.5,15.6,17.9," 60S ribosomal protein L30, putative similar to GI:6984132 from [Euphorbia esula] "
256461_s_at,31.3,37.8,41.1,49.1,42.6,46.4,33.6,83.8,62.8,60.2,60.6,45.5,adenylosuccinate lyase - like protein adenylosuccinate lyase - Haemophilus influenzae
256462_at,9.8,3.3,7.4,6.6,6.3,8,11.2,8.5,4.4,8.7,5,6.5,hypothetical protein predicted by genemark.hmm
256463_s_at,1.9,0.6,6.1,1,0.4,3.7,0.8,0.5,0.7,0.7,1.1,0.8,unknown protein
256464_at,5.9,0.7,0.7,1.9,3.7,6,1.5,1.5,1.7,0.8,0.8,0.3," late-embryogenesis abundant protein, putative similar to GI:4102692 from [Glycine max] "
256465_at,8,8.6,8.5,8.6,5.6,7.8,9.4,8.4,7.9,14.8,10.8,8.8,hypothetical protein predicted by genscan+
