"genes","log2FoldChange","padj","tair_symbol","description","external_gene_name","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","lfcliu2020","qvalliu2020"
"AT2G45430",-0.773079979067711,0.0410745339980664,"AHL22","AT-hook motif nuclear-localized protein [Source:UniProtKB/TrEMBL;Acc:A0A178VXD2]","AHL22","p","en6",NA,NA,NA,NA,-3.216016358,0.038900292
"AT2G45660",0.854870207084839,0.000398651240516632,"AGL20","SOC1 [Source:UniProtKB/TrEMBL;Acc:A0A178VZL4]","SOC1","p","em2",NA,NA,NA,NA,0.668863216,4.57e-07
"AT2G45660",0.522371782366434,0.0130545758495304,"AGL20","SOC1 [Source:UniProtKB/TrEMBL;Acc:A0A178VZL4]","SOC1","p","nm2",NA,NA,NA,NA,0.668863216,4.57e-07
"AT2G45920",-0.824888904160501,0.00299271840459169,"","U-box domain-containing protein 37 [Source:UniProtKB/Swiss-Prot;Acc:Q683D5]","PUB37","p","em24",1.02530014107122,1.60489869747222e-06,NA,NA,-0.320882412,0.002695661
"AT2G45920",0.70803112727876,0.0399411557457278,"","U-box domain-containing protein 37 [Source:UniProtKB/Swiss-Prot;Acc:Q683D5]","PUB37","p","en6",1.02530014107122,1.60489869747222e-06,NA,NA,-0.320882412,0.002695661
"AT2G46320",-0.525094847201255,0.0355870421786719,"","Mitochondrial substrate carrier family protein [Source:UniProtKB/TrEMBL;Acc:F4II70]","","p","em24",NA,NA,NA,NA,-0.581960832,3.34e-05
"AT2G46450",-0.698902813272531,0.014167446197325,"CNGC12","Probable cyclic nucleotide-gated ion channel 12 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWD2]","CNGC12","p","em24",0.571928324371898,0.000227028742229724,NA,NA,-0.868283595,3.59e-05
"AT2G46505",0.57984512567496,0.00741580467130401,"SDH4","SDH4 [Source:UniProtKB/TrEMBL;Acc:A0A178VQB2]","SDH4","p","em24",NA,NA,NA,NA,-0.334682682,0.010369014
"AT2G46510",0.892737354526342,0.0256149939553243,"ATAIB","Transcription factor ABA-INDUCIBLE bHLH-TYPE [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPY8]","AIB","p","em24",NA,NA,NA,NA,-1.036052192,0.005013815
"AT2G46830",0.38949178045191,0.0195447149941634,"CCA1","Protein CCA1 [Source:UniProtKB/Swiss-Prot;Acc:P92973]","CCA1","p","nm2",NA,NA,NA,NA,-0.590995377,0.028750375
"AT2G47220",0.894556025465088,0.0410686072392069,"DUF5","DOMAIN OF UNKNOWN FUNCTION 724 5 [Source:TAIR;Acc:AT2G47220]","DUF5","p","en6",-0.351528898624803,0.024056529560097,NA,NA,0.604254725,0.001416144
"AT3G02360",-0.35717288948754,0.00622711863749565,"","6-phosphogluconate dehydrogenase, decarboxylating [Source:UniProtKB/TrEMBL;Acc:A0A178VK18]","PGD2","p","nm2",0.695684964368537,5.881905857801e-06,NA,NA,-0.740256094,7.6e-17
"AT3G02830",-0.592518365741224,0.00491290863649211,"ZFN1","Zinc finger CCCH domain-containing protein 33 [Source:UniProtKB/Swiss-Prot;Acc:Q8GXX7]","ZFN1","p","em24",NA,NA,NA,NA,0.459383356,0.017317369
"AT3G03040",0.487937808429349,0.0121645780247403,"","F-box protein At3g03040 [Source:UniProtKB/Swiss-Prot;Acc:Q9LDJ9]","","p","nm2",NA,NA,NA,NA,0.508801456,6.24e-05
"AT3G03250",-0.779492600006344,0.0416878780315875,"UGP","UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT02]","UGP","r+p","em2",0.699307201155475,6.40473358371532e-06,NA,NA,0.731566782,1.06e-10
"AT3G03250",-0.536363719153668,0.00281145627884815,"UGP","UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT02]","UGP","r","em2",0.699307201155475,6.40473358371532e-06,NA,NA,0.731566782,1.06e-10
"AT3G03250",-0.641251392759721,0.000436608616501534,"UGP","UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT02]","UGP","p","em2",0.699307201155475,6.40473358371532e-06,NA,NA,0.731566782,1.06e-10
"AT3G03250",-0.422314012810931,0.0101547194018598,"UGP","UTP--glucose-1-phosphate uridylyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT02]","UGP","p","nm2",0.699307201155475,6.40473358371532e-06,NA,NA,0.731566782,1.06e-10
"AT3G04450",-0.80347685213224,0.013015529471094,"","Myb family transcription factor PHL13 [Source:UniProtKB/Swiss-Prot;Acc:F4J3P7]","PHL13","p","em24",-0.497278183166107,0.00207660212723372,NA,NA,0.710268395,0.008714719
"AT3G04640",-0.947186866793735,0.00128554041547193,"","At3g04640 [Source:UniProtKB/TrEMBL;Acc:Q9SR10]","","p","nm2",0.657547297843303,0.000163156993306725,NA,NA,-0.780195082,0.02965274
"AT3G04640",1.15434090052872,0.00617295659956395,"","At3g04640 [Source:UniProtKB/TrEMBL;Acc:Q9SR10]","","p","em24",0.657547297843303,0.000163156993306725,NA,NA,-0.780195082,0.02965274
"AT3G05020",-0.357536868458363,0.0152963440371028,"ACP1","Acyl carrier protein [Source:UniProtKB/TrEMBL;Acc:Q0WT41]","ACP1","p","nm2",NA,NA,NA,NA,0.782989744,4.89e-08
"AT3G05200",0.82033242581654,0.000360898862468214,"ATL6","E3 ubiquitin-protein ligase ATL6 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXX9]","ATL6","p","em24",0.798230537837896,2.24796278857938e-05,NA,NA,-0.528186535,3.5e-05
"AT3G05370",1.05525608009391,0.0156325777611283,"AtRLP31","Receptor-like protein 31 [Source:UniProtKB/Swiss-Prot;Acc:Q8RX63]","AtRLP31","p","en6",-0.400276922869027,0.015789321794737,NA,NA,-1.151445383,6.39e-12
"AT3G05630",-1.40870881138807,0.0431368295371806,"PLDP2","Phospholipase D zeta 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9W8]","PLPZETA2","r+p","em2",0.453080910704922,0.00516130843156473,0.986,0.0056,-0.664511615,0.046735147
"AT3G05630",-1.00522113483824,0.000231474132131667,"PLDP2","Phospholipase D zeta 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9W8]","PLPZETA2","r","em2",0.453080910704922,0.00516130843156473,0.986,0.0056,-0.664511615,0.046735147
"AT3G06070",0.846282928231764,0.0263505287311338,"","At3g06070 [Source:UniProtKB/TrEMBL;Acc:Q8LED7]","","p","em2",-2.35023744503319,3.66936664505009e-08,NA,NA,1.643526417,2.05e-27
"AT3G06070",0.641597973768994,0.0161215571883434,"","At3g06070 [Source:UniProtKB/TrEMBL;Acc:Q8LED7]","","r","em2",-2.35023744503319,3.66936664505009e-08,NA,NA,1.643526417,2.05e-27
"AT3G06500",0.769291431278797,0.00105141609741758,"","Alkaline/neutral invertase C, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:B9DFA8]","INVC","p","en6",-1.14526619274447,6.46634216478724e-07,NA,NA,-0.625918736,0.023118956
"AT3G07030",-0.489171313587556,0.0121645780247403,"","Alba DNA/RNA-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LSC0]","","p","nm2",NA,NA,NA,NA,0.351340647,0.045258727
"AT3G07350",-1.02143980498979,2.93441369668672e-12,"","F21O3.6 protein [Source:UniProtKB/TrEMBL;Acc:Q9SRT1]","","p","nm2",-1.05783127778072,1.09779090852885e-05,NA,NA,-0.336183057,0.012852995
"AT3G07350",0.618198379789173,0.0214712652219289,"","F21O3.6 protein [Source:UniProtKB/TrEMBL;Acc:Q9SRT1]","","p","en2",-1.05783127778072,1.09779090852885e-05,NA,NA,-0.336183057,0.012852995
"AT3G07720",-0.560922055382633,0.0042945996094121,"","AT3g07720/F17A17_6 [Source:UniProtKB/TrEMBL;Acc:Q9S7W4]","","p","nm2",0.52926641469993,0.00025797609659634,1.564,9.2e-05,-0.56687745,0.000436543
"AT3G08630",-0.494641581999335,0.00838852893344394,"","Protein RETICULATA-RELATED 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C9Z3]","RER2","p","nm2",NA,NA,NA,NA,-1.4864963,4.08e-18
"AT3G08670",-0.559420476342904,0.00376511274683054,"","At3g08670 [Source:UniProtKB/TrEMBL;Acc:Q9C9Y9]","","p","nm2",NA,NA,NA,NA,0.614299019,0.000249515
"AT3G08760",0.525741643133854,0.034054374025762,"ATSIK","ATSIK [Source:UniProtKB/TrEMBL;Acc:A0A384KX76]","ATSIK","p","em24",0.71437273140492,7.36753334399993e-05,NA,NA,-1.295862353,6.35e-51
"AT3G09390",-0.618159725152422,0.0044353129008199,"MT2A","Metallothionein-like protein 2A [Source:UniProtKB/Swiss-Prot;Acc:P25860]","MT2A","p","en6",0.529681426529786,2.67200895858562e-05,1.466,0.00014,-0.849868038,9.36e-23
"AT3G09450",-1.09351990092145,0.00617209832101036,"","F3L24.34 protein [Source:UniProtKB/TrEMBL;Acc:Q9S710]","","p","em24",NA,NA,NA,NA,-2.164833903,0.00032795
"AT3G10420",-0.576314109606867,0.00460284180034717,"SPD1","P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4J3R7]","SPD1","p","nm2",2.17634657409997,9.3131828426984e-10,NA,NA,-0.526553348,1.13e-07
"AT3G10930",1.53006361627453,0.00540770158050113,"","Uncharacterized protein At3g10930 [Source:UniProtKB/TrEMBL;Acc:Q84TK4]","","p","em24",2.36758357128582,4.28804219749425e-08,1.63,0.00057,-1.114847189,3.33e-08
"AT3G11070",0.654702363307109,0.0219228221561123,"","Outer membrane OMP85 family protein [Source:UniProtKB/TrEMBL;Acc:Q9SRL6]","","p","em24",NA,NA,NA,NA,0.413423535,0.004064966
"AT3G11330",-0.31861937321811,0.0436273352234232,"PIRL9","Plant intracellular Ras-group-related LRR protein 9 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYG9]","PIRL9","p","nm2",0.61307741462,4.81969493307235e-05,NA,NA,-0.697561575,5.83e-12
"AT3G12500",-1.23601042948306,0.0119149747865149,"ATHCHIB","Basic endochitinase B [Source:UniProtKB/Swiss-Prot;Acc:P19171]","CHI-B","r+p","em2",NA,NA,NA,NA,-0.830046278,0.022509684
"AT3G12610",-0.786372928838093,0.0223876521940904,"DRT100","DRT100 [Source:UniProtKB/TrEMBL;Acc:A0A178VMS3]","DRT100","p","en6",NA,NA,NA,NA,2.646844245,5.08e-36
"AT3G13110",-0.407062045790012,0.0317520911763328,"ATSERAT2;2","Serine acetyltransferase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q39218]","SAT3","p","em2",0.655191285183008,2.38750673444891e-05,0.704,0.001,-0.404373481,0.041763987
"AT3G13110",-0.649744242621831,4.47851585500867e-07,"ATSERAT2;2","Serine acetyltransferase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q39218]","SAT3","p","nm2",0.655191285183008,2.38750673444891e-05,0.704,0.001,-0.404373481,0.041763987
"AT3G14410",-0.447083464343446,0.0340052555136933,"","Probable sugar phosphate/phosphate translocator At3g14410 [Source:UniProtKB/Swiss-Prot;Acc:Q94EI9]","","p","em24",NA,NA,NA,NA,0.826552925,1.45e-08
"AT3G15000",-0.426524245694104,0.0159193226512263,"","Multiple organellar RNA editing factor 8, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9LKA5]","MORF8","p","nm2",-0.250595135777559,0.0295041249365419,0.786,0.00024,0.366276872,0.000660823
"AT3G15210",-0.578643650318744,0.0312421769787953,"ATERF-4","Ethylene-responsive transcription factor 4 [Source:UniProtKB/Swiss-Prot;Acc:O80340]","ERF4","p","nm2",0.548099854618823,0.000232424802832484,NA,NA,-1.413024252,1.47e-13
"AT3G15210",1.12966641668941,0.000643317335143112,"ATERF-4","Ethylene-responsive transcription factor 4 [Source:UniProtKB/Swiss-Prot;Acc:O80340]","ERF4","p","em24",0.548099854618823,0.000232424802832484,NA,NA,-1.413024252,1.47e-13
"AT3G15500",1.7376650285613,0.0322951835529031,"ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]","NAC055","p","em2",1.37386098153939,3.51741662307427e-07,NA,NA,-0.974694234,5.69e-14
"AT3G15500",1.61637768756964,0.00330566207305085,"ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]","NAC055","p","en2",1.37386098153939,3.51741662307427e-07,NA,NA,-0.974694234,5.69e-14
"AT3G15500",2.9365944930887,0.000288105453145125,"ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]","NAC055","p","en6",1.37386098153939,3.51741662307427e-07,NA,NA,-0.974694234,5.69e-14
"AT3G15500",2.81786376055964,0.0143081995800744,"ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]","NAC055","r","en6",1.37386098153939,3.51741662307427e-07,NA,NA,-0.974694234,5.69e-14
"AT3G15760",0.870597546594985,0.023753654461154,"","At3g15760 [Source:UniProtKB/TrEMBL;Acc:Q9LW03]","","p","em2",0.704055331979021,6.41246160306798e-05,NA,NA,-0.981313055,4.17e-06
"AT3G16720",1.14184856293148,7.75361417916706e-05,"ATL2","RING-H2 finger protein ATL2 [Source:UniProtKB/Swiss-Prot;Acc:Q8L9T5]","ATL2","p","em24",0.816989627803614,6.85414428138072e-06,NA,NA,-0.64033313,1.42e-08
"AT3G17609",0.733119852635698,0.0270018437763783,"HYH","HYH [Source:UniProtKB/TrEMBL;Acc:A0A178VIU6]","HYH","p","nm2",NA,NA,NA,NA,-1.753631857,2.19e-15
"AT3G17790",-0.766086387324001,0.0062477084998375,"ATACP5","Purple acid phosphatase 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCX8]","PAP17","p","nm2",0.624458941862931,0.000331014108632275,NA,NA,-0.973775772,0.000883549
"AT3G17790",-1.00580906262174,0.0171039107113139,"ATACP5","Purple acid phosphatase 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCX8]","PAP17","r+p","em2",0.624458941862931,0.000331014108632275,NA,NA,-0.973775772,0.000883549
"AT3G17790",-0.836334690933302,0.033024614653175,"ATACP5","Purple acid phosphatase 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCX8]","PAP17","p","em2",0.624458941862931,0.000331014108632275,NA,NA,-0.973775772,0.000883549
"AT3G17820",-0.398955033078899,0.00974940988572292,"ATGSKB6","Glutamine synthetase [Source:UniProtKB/TrEMBL;Acc:A0A178VNQ6]","GLN1-3","p","nm2",0.829887195986591,1.6284134122481e-06,NA,NA,-0.454529501,8.41e-05
"AT3G18190",0.582598363131043,0.0312615149371613,"","T-complex protein 1 subunit delta [Source:UniProtKB/Swiss-Prot;Acc:Q9LV21]","CCT4","p","em24",-0.275469509906462,0.0126349932609263,NA,NA,0.419218706,6.61e-06
"AT3G18240",-0.341009698239484,0.0438081649466214,"","AT3G18240 protein [Source:UniProtKB/TrEMBL;Acc:Q9LJQ6]","","p","nm2",-0.410576482833607,0.00507816644843155,NA,NA,0.421427278,0.009232661
"AT3G18560",0.872312392535709,0.0184419770946062,"","AT3g18560/K24M9_5 [Source:UniProtKB/TrEMBL;Acc:Q9LII3]","","p","em24",0.492245671773416,0.00186866535425173,NA,NA,-0.465925602,0.001742233
"AT3G18830",-0.518612702386775,0.00597061864897464,"ATPLT5","PMT5 [Source:UniProtKB/TrEMBL;Acc:A0A178V5Y2]","PLT5","p","nm2",1.82193510348778,1.31294923690164e-08,NA,NA,-0.820818106,4.86e-16
"AT3G19030",0.870249732648419,0.000244138214669504,"","AT3g19030/K13E13_15 [Source:UniProtKB/TrEMBL;Acc:Q9LJ63]","","r","em2",-1.50699024270255,1.16289654034528e-06,NA,NA,-0.718795194,0.02073903
"AT3G19390",-0.746051286565145,0.0312421769787953,"","Probable cysteine protease RD21C [Source:UniProtKB/Swiss-Prot;Acc:Q9LT78]","RD21C","p","nm2",0.949984649128767,5.07545776347512e-05,NA,NA,-0.831226565,5.96e-05
"AT3G19580",0.877749160452355,0.0380322549595265,"AZF2","ZF2 [Source:UniProtKB/TrEMBL;Acc:A0A178VJ97]","AZF2","p","em24",1.57380007910204,4.75406317255799e-06,1.999,8.8e-05,-0.578032642,0.025226121
"AT3G19850",0.729517817940036,0.0400139264378456,"","BTB/POZ domain-containing protein At3g19850 [Source:UniProtKB/Swiss-Prot;Acc:Q9LT24]","","r","em2",-2.52584204663814,4.07042497081244e-09,NA,NA,0.456776028,0.020420531
"AT3G22200",0.409696994873444,0.0492040009890664,"POP2","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein [Source:TAIR;Acc:AT3G22200]","POP2","p","nm2",NA,NA,NA,NA,-0.984303813,1.69e-20
"AT3G22310",-0.374010513301724,0.0156890120025766,"PMH1","DEAD-box ATP-dependent RNA helicase 9, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9LUW6]","RH9","p","nm2",NA,NA,1.025,0.00029,0.41187097,0.000382731
"AT3G22420",0.548759818092111,0.0259651747691253,"WNK2","With no lysine (K) kinase 2 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LMD0]","WNK2","p","nm2",-0.743867274110468,1.57998651386272e-05,NA,NA,0.584838249,0.00040537
"AT3G22420",-0.541404174834345,0.0217307864349637,"WNK2","With no lysine (K) kinase 2 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LMD0]","WNK2","p","em24",-0.743867274110468,1.57998651386272e-05,NA,NA,0.584838249,0.00040537
"AT3G23510",0.867763225881749,0.0231749963796296,"","Cyclopropane-fatty-acyl-phospholipid synthase [Source:UniProtKB/TrEMBL;Acc:Q8GZ28]","","p","nm2",-0.437388571426044,0.00743272042811726,NA,NA,-0.59192085,0.027336878
"AT3G23830",-0.468210448342191,0.00108818032922737,"GR-RBP4","GRP4 [Source:UniProtKB/TrEMBL;Acc:A0A178VD35]","RBG4","p","nm2",-0.322483067096362,0.00287912565653795,NA,NA,0.411514985,0.010298877
"AT3G25780",-0.701508494159994,0.0159193226512263,"AOC3","Allene oxide cyclase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LS01]","AOC3","p","nm2",0.491203025936344,0.00471526646152696,NA,NA,-1.023464534,0.008643515
"AT3G25780",0.644595594256994,0.0154028565893651,"AOC3","Allene oxide cyclase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LS01]","AOC3","p","em24",0.491203025936344,0.00471526646152696,NA,NA,-1.023464534,0.008643515
"AT3G25890",0.624542388109116,0.0209412632410878,"","Ethylene-responsive transcription factor ERF119 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUA2]","ERF119","p","em24",NA,NA,NA,NA,0.491628382,0.006967487
"AT3G26100",-0.560379963103921,0.0266625797967598,"","Regulator of chromosome condensation (RCC1) family protein [Source:UniProtKB/TrEMBL;Acc:Q9LU80]","","p","em24",0.890771616005649,1.28471049679662e-06,NA,NA,-0.479435991,0.000246732
"AT3G26290",-0.401270548936082,0.044663036546746,"CYP71B26","Cytochrome P450, family 71, subfamily B, polypeptide 26 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LRI3]","CYP71B26","p","em24",NA,NA,NA,NA,-0.597787611,1.21e-06
"AT3G26900",0.45229835591411,0.0349959115473483,"SKL1","Probable inactive shikimate kinase like 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LW20]","SKL1","p","nm2",-0.870760573196083,1.08081845152351e-06,NA,NA,0.418834148,0.000618103
"AT3G28340",1.3107081443624,0.00155685522279725,"GATL10","Hexosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QNM3]","GATL10","p","em24",0.696269272171722,0.000369166463552001,NA,NA,-0.803851912,0.000976628
"AT3G29034",0.756123490843304,0.0271885479058494,"","At3g29034 [Source:UniProtKB/TrEMBL;Acc:Q8GX70]","","p","em24",NA,NA,NA,NA,-0.985807934,0.002326721
"AT3G30720",-1.45465770647,0.0084853524175688,"QQS","Protein QQS [Source:UniProtKB/Swiss-Prot;Acc:Q3E7K4]","QQS","p","em24",NA,NA,NA,NA,0.927322004,0.049164406
"AT3G44260",1.68387356931855,0.000288105453145125,"","Probable CCR4-associated factor 1 homolog 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXM2]","CAF1-9","p","en6",0.546340774307378,0.000896366431547611,NA,NA,-1.154082983,1.16e-09
"AT3G44260",1.50144910927135,0.00275342662220191,"","Probable CCR4-associated factor 1 homolog 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXM2]","CAF1-9","p","em24",0.546340774307378,0.000896366431547611,NA,NA,-1.154082983,1.16e-09
"AT3G44300",2.01758371521438,0.00757430032309324,"NIT2","NIT2 [Source:UniProtKB/TrEMBL;Acc:A0A384LD03]","NIT2","p","en24",0.224681423822853,0.0142446891524072,1.656,0.0022,-1.895961155,6.27e-11
"AT3G44720",-0.428268031551544,0.017528341692953,"ADT4","Arogenate dehydratase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O22241]","ADT4","p","nm2",1.20363367253653,2.99663360326498e-07,NA,NA,-1.183316882,8.29e-12
"AT3G46280",0.75044022318343,0.0276091393681836,"","Kinase-like protein [Source:UniProtKB/TrEMBL;Acc:Q8GYH9]","","p","em24",2.27864058571544,1.75437635981984e-06,1.313,0.00042,-0.585990197,0.002091774
"AT3G46600",0.874651108654969,0.0177503810566184,"","Scarecrow-like protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9SNB8]","SCL30","p","em24",0.720635298950659,4.8163337755966e-05,NA,NA,0.341061671,7.6e-05
"AT3G46620",0.829466693209315,0.00540770158050113,"","E3 ubiquitin-protein ligase RDUF1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SNB6]","RDUF1","p","em24",0.819941084807177,2.54249745940311e-05,NA,NA,-0.975384335,4.76e-07
"AT3G46970",-0.604728295723568,0.049263257332082,"ATPHS2","Alpha-glucan phosphorylase 2, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9SD76]","PHS2","p","em24",0.368948668865318,0.0269560207323799,NA,NA,0.360152095,0.045353415
"AT3G47420",-0.803359307916238,0.0280303332580121,"ATPS3","Putative glycerol-3-phosphate transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5L3]","ATPS3","p","nm2",0.744431665115359,4.54521665819729e-05,NA,NA,-1.354337005,0.000948921
"AT3G47420",-1.02508522161179,0.0098825504952096,"ATPS3","Putative glycerol-3-phosphate transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5L3]","ATPS3","p","em2",0.744431665115359,4.54521665819729e-05,NA,NA,-1.354337005,0.000948921
"AT3G47420",-1.64653214557942,5.84274252846002e-10,"ATPS3","Putative glycerol-3-phosphate transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5L3]","ATPS3","r+p","em2",0.744431665115359,4.54521665819729e-05,NA,NA,-1.354337005,0.000948921
"AT3G47450",0.574370236078585,0.0114526903188374,"ATNOS1","P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT3G47450]","ATNOS1","p","nm2",-1.47072775218631,4.87810377925324e-07,NA,NA,0.881840895,3.43e-13
"AT3G47460",0.886212976376496,0.00752811141807131,"ATSMC2","Structural maintenance of chromosomes protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LLC4]","ATSMC2","p","em2",NA,NA,NA,NA,-0.584142433,0.001685295
"AT3G48110",0.471905875437026,0.0495188976981546,"EDD1","Glycine--tRNA ligase, chloroplastic/mitochondrial 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8L785]","EDD1","p","nm2",-1.02917283654852,7.41762119579748e-06,NA,NA,0.376713634,0.002485006
"AT3G49140",0.661792868052096,0.0113279751149319,"","Uncharacterized protein At3g49140 [Source:UniProtKB/Swiss-Prot;Acc:Q0WMN5]","","p","nm2",-1.31574136167199,6.16201232561557e-07,NA,NA,0.370044886,0.000574456
"AT3G49140",-0.459130323421054,0.00485181700763478,"","Uncharacterized protein At3g49140 [Source:UniProtKB/Swiss-Prot;Acc:Q0WMN5]","","p","em24",-1.31574136167199,6.16201232561557e-07,NA,NA,0.370044886,0.000574456
"AT3G49160",-3.38301778088204,0.0069495079960709,"","Plastidial pyruvate kinase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M3B6]","PKP4","r","em6",2.42016819104299,0.000144120951269412,0.796,0.00086,-1.530341493,2.04e-17
"AT3G49290",-0.677046423435656,0.0259505820358779,"ABIL2","At3g49290 [Source:UniProtKB/TrEMBL;Acc:Q147L2]","ABIL2","p","em24",NA,NA,NA,NA,0.724558015,0.000489382
"AT3G49810",0.45303454739233,0.0452314002243743,"","U-box domain-containing protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q058P4]","PUB30","p","em24",NA,NA,NA,NA,-0.730427072,5.07e-05
"AT3G49850",0.44986540412425,0.0388075139191323,"TRB3","Telomere repeat-binding factor 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2X3]","TRB3","p","nm2",NA,NA,NA,NA,-0.524681492,0.000213032
"AT3G50240",-0.604320444185223,0.00267080845889496,"KICP-02","Kinesin-like protein KIN-4B [Source:UniProtKB/Swiss-Prot;Acc:Q94LW7]","KIN4B","p","em24",NA,NA,NA,NA,0.850104272,0.000362775
"AT3G50970",0.973470596355453,0.0309260215910635,"LTI30","Dehydrin Xero 2 [Source:UniProtKB/Swiss-Prot;Acc:P42758]","XERO2","r","en2",0.303695506781578,0.00536398979918127,1.313,0.0016,-1.411867919,3.66e-13
"AT3G51450",1.01578772968147,0.0489577306778756,"","Protein STRICTOSIDINE SYNTHASE-LIKE 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SD04]","SSL7","p","en6",NA,NA,NA,NA,-1.137821909,0.000812518
"AT3G52060",0.585343173548531,0.00194490190473043,"","GnTL [Source:UniProtKB/TrEMBL;Acc:A0A384L2P4]","","p","en2",NA,NA,NA,NA,-0.496681663,3.79e-07
"AT3G52060",0.543673156571784,0.0125972454450759,"","GnTL [Source:UniProtKB/TrEMBL;Acc:A0A384L2P4]","","r","em2",NA,NA,NA,NA,-0.496681663,3.79e-07
"AT3G52060",0.503461147480915,0.0198731661127983,"","GnTL [Source:UniProtKB/TrEMBL;Acc:A0A384L2P4]","","p","em2",NA,NA,NA,NA,-0.496681663,3.79e-07
"AT3G52400",0.892656813115321,0.00321800444462385,"SYP122","Syntaxin-122 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVC2]","SYP122","p","em24",1.25298228468644,2.71101701050461e-06,NA,NA,-0.964194287,5.7e-05
"AT3G52450",0.815681262296482,0.0346305464410453,"PUB22","RING-type E3 ubiquitin transferase [Source:UniProtKB/TrEMBL;Acc:A0A178VML4]","PUB22","p","em24",NA,NA,NA,NA,-0.664875081,2.08e-05
"AT3G53620",-0.832428203456341,0.000202249825373091,"AtPPa4","PPa4 [Source:UniProtKB/TrEMBL;Acc:A0A178VKC0]","PPA4","p","em2",-0.552313173951032,9.55043030666356e-05,NA,NA,0.611154048,2.61e-05
"AT3G53620",-0.612320888276063,0.00152677920370819,"AtPPa4","PPa4 [Source:UniProtKB/TrEMBL;Acc:A0A178VKC0]","PPA4","r","em2",-0.552313173951032,9.55043030666356e-05,NA,NA,0.611154048,2.61e-05
"AT3G54720",0.488989833813558,0.0138214452382494,"AMP1","Probable glutamate carboxypeptidase AMP1 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1S8]","AMP1","p","nm2",-0.39494221725419,0.0456262545298687,NA,NA,0.424365815,0.024166604
